port_code,Lon,Lat
WPT,-124.10832,46.90757
NEW,-124.05359,44.6282
AST,-123.85876,46.18838
CRS,-124.18493,41.745
SF,-122.41919,37.81012
COS,-124.32148,43.33971
LWC,-124.04177,46.30345
BDG,-123.05032,38.32978
ANA,-122.60897,48.51147
PRN,-122.4825,37.50118
BLL,-122.5104,48.75651
BRK,-124.26834,42.0475
ERK,-124.16367,40.80698
BLN,-122.76244,48.99119
LAC,-122.50233,48.38694
BRG,-123.81064,39.42769
SEA,-122.38465,47.62947
TLL,-123.91189,45.55377
WLB,-124.02602,46.50102
ORF,-124.49823,42.73929
TRN,-124.14669,41.05485
MRO,-120.85766,35.37007
TNS,-122.77509,48.10638
WIN,-124.17828,43.67965
LAP,-124.63704,47.91075
CRZ,-122.00243,36.9662
AVL,-120.7509,35.16445
PAG,-123.45084,48.12453
FLN,-124.22103,40.72792
MOS,-121.78536,36.80311
SEQ,-123.07971,48.13068
NEA,-124.6138,48.36804
OLY,-122.8942,47.04752
MNT,-121.89031,36.60595
ARE,-123.71075,38.91447
SHL,-123.09171,47.21256
BOL,-122.68039,37.90559
ALM,-122.23826,37.77261
DPO,-124.06303,44.80923
WLD,-124.06999,44.42682
BKL,-122.31596,37.8667
EVR,-122.2176,47.99713
TAC,-122.41211,47.28529
PCC,-123.96502,45.1993
FLR,-124.10328,43.96629
GLD,-124.42241,42.42163
OAK,-122.29044,37.79132
SB,-119.69245,34.40429
NTR,-123.9484,45.40284
VEN,-119.26303,34.24149
NHL,-123.91564,45.7056
FRI,-123.01037,48.53474
GRH,-123.88366,46.98149
RCH,-122.37218,37.92246
TML,-122.91277,38.17128
GSS,-123.92419,45.99283
SLT,-122.49669,37.86831
OXN,-119.22438,34.16501
RYS,-122.97335,37.99531
BDN,-124.41133,43.12057
SLZ,-124.02395,44.92697
TRM,-118.26723,33.73639
HNM,-119.20739,34.15009
SP,-118.27676,33.73011
CPL,-124.17916,47.12607
SD,-117.17365,32.7106
OCN,-117.39348,33.20658
NWB,-117.90588,33.61086
DNA,-117.6916,33.46081
LGB,-118.20888,33.77254
ALB,-123.77067,39.22701
WLM,-118.26614,33.76147
CNB,-123.96492,45.89177
SRV,-124.00722,45.04614
YAC,-124.10214,44.30906
MDRb,-118.44811,33.97355
SSLb,-122.40597,47.66805
VALb,-122.2721,38.1089
LWCb,-123.9474,46.27063
ASTb,-123.9191,46.16692
